cidades,vitimas,pib_2022,ibge_mortalidade_inf_2022,remun_real_media_2022,ibge_matricula_ef_anosfinais_2022,ibge_matricula_em_2022,população_2022,ibge_conect_rede_de_esgoto_2022,pop_graduada_2022,idade_media_2022,pop_preta_parda_2022,,pop_empregada_2022,,auxilio_gov_2022
fernando_de_noronha,27,201359,N/A,2550.63,133,74,3167,79.22%,462,35,2073,65,2269,72,56
ferreiros,78,125573,8.7,2020.90,587,320,15026,53.43%,742,36,9843,66,1558,10,374
flores,98,182117,35.71,2322.71,1029,772,20347,34.34%,765,37,13702,67,1064,5,764
floresta,252,385612,20.18,2518.16,2004,1140,30137,62%,2473,32,20961,70,3480,12,1421
frei_miguelinho,71,125423,21.98,2299.57,611,591,13636,15.44%,363,38,6215,46,746,5,501
gameleira,130,265797,11.07,2243.13,954,590,18214,56.26%,786,33,12954,71,1439,8,773
garanhuns,1617,2671860,11.65,2282.92,7618,4513,142506,59.57%,15974,34,87072,61,23671,17,8960
gloria_do_goita,215,493275,21.62,2618.01,1436,849,29347,52.09%,1188,34,20764,71,2593,9,609
goiana,919,7888787,13.77,3270.12,3639,2741,81055,28.42%,5443,34,59845,74,27359,34,4563
granito,20,75294,27.78,2715.63,579,301,6967,39.88%,375,35,5618,81,456,7,266
gravata,799,1218334,9.85,2146.71,3164,2420,86516,60.21%,5996,36,45402,52,12057,14,3978
iati,53,188878,10.45,3199.31,1317,648,17165,35.78%,496,34,11580,67,723,4,681
ibimirim,162,316331,5.22,3029.53,1713,1086,26593,51.06%,854,33,18087,68,1195,4,1526
ibirajuba,65,82343,N/A,2048.56,430,258,7140,44.3%,332,36,3972,56,427,6,164
igarassu,1349,2905754,15.42,2734.99,5403,3556,115196,15.63%,7079,34,84048,73,23731,21,4690
iguaracy,60,107574,15.75,2646.06,605,418,11081,45.24%,460,37,7098,64,434,4,346
ilha_de_itamaraca,286,280343,08.03,4748.49,1137,592,24540,2.3%,1148,29,18527,75,1212,5,1033
inaja,74,185062,N/A,2101.69,1534,872,25603,27.44%,807,36,17510,68,1523,6,589
ingazeira,22,48907,20.9,2432.83,247,178,4765,42.32%,215,31,2813,59,259,5,196
ipojuca,659,11682256,9.96,3825.53,6441,3468,98932,48.15%,4511,31,73590,74,37330,38,3498
ipubi,158,320228,21.07,2423.17,2349,1317,29009,31.79%,1266,33,22720,78,2131,7,966
itacuruba,15,68960,N/A,2227.79,364,261,4284,74.55%,236,34,2643,62,940,22,264
itaiba,89,269553,2.68,2859.21,1644,835,32650,32.07%,1112,35,23154,71,992,3,986
itambe,336,476378,7.43,2041.95,1579,1149,34935,12.72%,1397,34,25726,74,5115,15,1183
itapetim,118,133909,23.39,2327.14,746,374,13791,61.61%,778,38,8233,60,637,5,846
itapissuma,239,1876862,2.78,3626.10,1321,985,27749,9.99%,858,33,22049,79,7983,29,1017
itaquitinga,95,155515,21.51,1951.92,960,508,16554,22.81%,575,33,13146,79,992,6,313
jaboatao_dos_guararapes,7578,12825773,13.96,2677.61,24762,17583,644037,42.05%,66544,35,431121,67,106948,17,20425
jaqueira,34,107613,6.49,2045.36,656,338,10247,52.97%,237,33,7902,77,1147,11,223
jatauba,76,147573,30.57,1988.72,813,421,15843,45.42%,556,34,10081,64,1304,8,437
jatoba,90,143470,9.9,2357.39,999,623,14020,53.79%,760,34,6887,49,1327,9,425
joao_alfredo,181,295758,10.31,2396.94,1487,903,27725,40.74%,1130,36,17250,62,1712,6,977
joaquim_nabuco,56,168935,12.05,2362.15,894,442,13269,56.42%,486,33,9556,72,1296,10,398
jucati,95,125849,12.82,1986.49,864,480,11517,42.16%,605,34,7056,61,518,4,314
jupi,165,205709,12.35,1987.72,1005,563,15329,56.41%,1030,33,9910,65,923,6,491
jurema,102,128534,14.93,1969.06,856,459,13648,66.31%,560,35,8540,63,667,5,378
lagoa_do_carro,107,279024,32.86,2341.49,968,767,17981,24.9%,832,34,11688,65,1876,10,259
lagoa_de_itaenga,122,443262,14.04,2023.95,860,486,19003,19.6%,843,34,13854,73,7095,37,497
lagoa_do_ouro,58,134571,N/A,1688.04,880,450,11933,50.29%,464,35,6981,59,347,3,300
lagoa_dos_gatos,66,130571,33.78,2927.94,657,376,14076,48.6%,521,35,8388,60,722,5,446
lagoa_grande,153,424831,29.41,2010.28,1564,1136,24088,58.98%,758,31,18573,77,3003,12,1241
lajedo,456,521989,17.41,1785.32,2311,1378,39582,59.31%,2504,34,23664,60,3666,9,1865
limoeiro,516,749078,06.06,2176.49,2440,2143,56510,40.44%,4864,37,34691,61,6479,11,2870
macaparana,141,260773,8.65,2131.47,1316,977,23879,71.51%,1209,35,15334,64,2083,9,1097
machados,85,202487,5.62,1893.37,648,457,11333,8.51%,567,34,6993,62,1576,14,293
manari,43,135406,15.15,2728.38,1344,943,23763,2.91%,425,30,19190,81,868,4,1114
maraial,20,90139,7.52,2114.38,648,312,9359,25.47%,357,33,6344,68,1561,17,286
mirandiba,75,148303,27.67,2429.89,915,502,14166,46.9%,789,32,9587,68,783,6,422
moreilandia,72,90987,08.06,2354.13,727,596,10540,16%,664,36,7836,74,572,5,395
moreno,471,803787,8.85,2376.84,2440,1654,55292,50.01%,3073,37,38826,70,8790,16,2969
nazare_da_mata,229,610487,8.85,2258.08,1518,1453,30648,72.38%,2417,37,22630,74,5694,19,2203
olinda,6136,5093215,12.97,2302.38,13715,8987,349976,53.84%,48323,36,231207,66,79495,23,17427
orobo,142,382470,12.3,2326.64,1305,878,21808,27.37%,1086,32,13247,61,1821,8,957
oroco,65,175555,35.18,2544.87,929,717,13613,36.58%,638,33,10981,81,750,6,498
ouricuri,406,714276,21.25,2406.03,3953,1999,65245,50.25%,3308,35,47201,72,4729,7,9929
palmares,358,816794,14.71,2390.62,2725,2384,54584,63.26%,4031,35,37429,69,7927,15,4885
palmeirina,45,78176,22.22,2364.57,408,245,7031,40.15%,319,35,4442,63,415,6,224
panelas,140,221455,25.81,4565.04,1394,1125,22991,56.96%,953,35,14997,65,2022,9,691
paranatama,101,275234,5.46,3735.16,992,515,12199,3%,298,35,7914,65,146,1,429
parnamirim,110,195878,12.3,2041.72,1245,920,18612,40.45%,863,36,13462,72,1287,7,884
passira,161,249483,5.7,2289.85,1541,1163,28340,17.03%,1260,34,17202,61,1497,5,579
paudalho,541,881147,13.4,1972.12,3243,1932,56665,27.43%,3746,36,41705,74,6399,11,1840
paulista,4379,4833013,13.8,2353.11,9994,7839,342167,51.63%,42518,34,230150,67,53998,16,12353
pedra,129,287216,25.64,2448.33,1295,655,22795,40.14%,855,35,15501,68,1234,5,2551
pesqueira,416,773583,9.22,2133.30,3618,2203,62722,60.89%,4502,32,30098,48,5834,9,2867
petrolandia,261,1622442,10.4,2605.32,2674,1493,34161,59.53%,1834,31,23696,69,3234,9,1836
petrolina,4016,7006312,14.86,2566.76,22062,13168,386791,70.51%,38852,35,276034,71,90311,23,11656
pocao,29,96265,6.71,2240.28,712,365,10500,54.84%,533,35,6366,61,777,7,421
pombos,233,475200,09.09,2291.53,1472,574,27552,51.8%,1009,33,16899,61,3307,12,732
primavera,58,274996,6.33,2097.49,602,378,13838,27.95%,395,34,9148,66,4622,33,288
quipapa,89,183016,22.73,2174.15,1185,731,17928,63.27%,716,35,12284,69,933,5,780
quixaba,19,64447,12.35,2637.11,1042,612,6554,41.06%,209,38,4211,64,407,6,230
recife,29652,45167888,10.93,4250.17,49319,41931,1488920,67.44%,305528,36,905101,61,703173,47,90641
riacho_das_almas,175,246693,15.33,2385.51,1074,647,20639,48.48%,669,35,10516,51,1471,7,625
ribeirao,266,539011,7.58,2542.93,1371,965,33507,58.12%,2041,32,23097,69,3796,11,2081
rio_formoso,124,358770,21.82,2193.84,1347,924,20009,34.28%,989,38,15272,76,6409,32,661
saire,73,167357,8.93,2177.38,557,248,10887,27.08%,598,38,5459,50,1332,12,294
salgadinho,26,77987,N/A,2155.75,384,244,5727,11.21%,177,33,3524,62,567,10,66
salgueiro,558,865724,10.68,2646.16,3828,5631,62372,64.79%,6132,35,44479,71,7773,12,3261
saloa,107,162375,11.11,2101.13,960,570,13836,49.76%,462,34,9031,65,674,5,535
sanharo,150,233775,15.94,2677.85,1259,504,18624,50.42%,799,35,11433,61,1204,6,567
santa_cruz,72,127428,14.78,2154.50,875,471,13841,34.15%,438,34,9703,70,870,6,693
santa_cruz_da_baixa_verde,70,106660,6.9,2568.88,728,384,11567,49.27%,474,31,8590,74,719,6,234
santa_cruz_do_capibaribe,1353,1601918,16.24,2055.90,4907,3538,98254,88.96%,4310,35,57271,58,16097,16,4626
santa_filomena,54,107609,12.42,2666.07,819,614,12106,9.34%,383,31,8868,73,621,5,722
santa_maria_da_boa_vista,226,535355,15.18,3035.68,3057,2050,40578,39.86%,1684,34,34774,86,2446,6,2510
santa_maria_do_cambuca,129,114685,29.24,2765.28,883,391,14013,19.41%,393,35,8399,60,825,6,282
santa_terezinha,56,108304,7.81,2317.66,628,462,10244,77.02%,611,33,6206,61,632,6,295
sao_benedito_do_sul,37,113784,7.3,2176.79,586,290,13113,40.07%,479,33,9664,74,927,7,183
sao_bento_do_una,360,1438810,12.05,1945.12,2972,1746,49449,50.36%,2321,34,31057,63,5386,11,1896
sao_caitano,475,400940,15.84,2278.04,1771,1511,37126,59.73%,1191,33,21151,57,2893,8,1469
sao_joao,132,371905, 19.66,2114.93,1367,785,23837,24.31%,965,35,15837,66,1887,8,668
sao_joaquim_do_monte,161,177861, 21.28,2407.55,1168,629,20037,71.18%,769,32,10589,53,1096,5,1069
sao_jose_da_coroa_grande,145,260231,15.38,1659.47,1205,832,18825,1.08%,1321,34,14571,77,1207,6,523
sao_jose_do_belmonte,208,312113,10.08,2381.10,2354,1556,34843,40.4%,1853,37,26839,77,3256,9,1725
sao_jose_do_egito,266,401128,14.81,2088.97,1780,1311,31004,60.89%,1832,35,18690,60,2670,9,2788
sao_lourenco_da_mata,1409,1295155,13.49,2405.20,5271,3641,111249,40.35%,7537,34,76875,69,11791,11,5727
são_vicente_ferrer,128,196276,8.58,2113.33,894,576,16677,52.32%,719,34,10876,65,1717,10,612
serra_talhada,815,1436134,14,2333.56,4854,2763,92228,76.84%,8230,34,62243,67,12974,14,6452
serrita,63,155741,24.27,1958.65,1197,573,18207,27.97%,1035,36,14224,78,1304,7,485
sertania,182,329406,31.61,2639.73,1867,1369,32811,50.11%,1904,32,21600,66,2062,6,1481
sirinhaem,167,676066,14.23,2422.58,2371,1505,37596,33.66%,1256,35,28538,76,8653,23,1176
solidao,23,55060,26.67,2874.74,420,217,5210,32.68%,291,35,2414,46,272,5,266
surubim,334,817928,10.01,2070.08,2715,1810,64120,48.9%,3450,35,34561,54,6987,11,3000
tabira,193,291655,13.55,2246.47,1489,1011,27681,71.11%,1500,35,15370,56,2141,8,1180
tacaimbo,150,140275,30.53,2080.51,595,473,13738,44.44%,482,35,8330,61,1320,10,376
tacaratu,54,239761,21.35,2094.86,1504,1159,23902,27.73%,769,33,13457,56,1410,6,642
tamandare,195,364677, 11.36,2081.18,1556,760,23561,53.21%,1428,32,17716,75,3860,16,498
taquaritinga_do_norte,231,307943,5.85,2013.81,1376,878,24736,53.94%,897,34,12979,52,2649,11,8114
terezinha,33,73256,N/A,2068.94,536,194,6513,43.2%,216,34,4204,65,441,7,388
terra_nova,52,88645,8.4,2208.50,612,354,8920,64.07%,614,35,6534,73,664,7,160
